epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1478.05,1.19759,1.3974,1.23899,0.57251,0.4298,0.45381,0.31134,1.22167,1.36459,1.21384,0.00333288,0.00333288,0.00333288
2,2824.22,1.31583,1.71443,1.32265,0.55545,0.39871,0.42627,0.2902,1.25076,1.439,1.25563,0.00653422,0.00653422,0.00653422
3,4134.47,1.41191,1.98001,1.39539,0.55496,0.36632,0.39256,0.2642,1.27344,1.51827,1.28419,0.00960356,0.00960356,0.00960356
4,5434.3,1.42398,2.02075,1.40961,0.54455,0.38249,0.40431,0.27503,1.25398,1.48271,1.2751,0.009406,0.009406,0.009406
5,6706.92,1.37817,1.89969,1.37715,0.56821,0.40109,0.42923,0.2929,1.22912,1.42546,1.25333,0.009208,0.009208,0.009208
6,7981.78,1.35287,1.8369,1.36104,0.57593,0.4077,0.43975,0.30118,1.21636,1.39632,1.24315,0.00901,0.00901,0.00901
7,9254.19,1.33839,1.79175,1.34858,0.57367,0.41576,0.44569,0.30676,1.2081,1.38093,1.23663,0.008812,0.008812,0.008812
8,10531,1.32715,1.7608,1.33905,0.56501,0.42595,0.4489,0.31006,1.20259,1.37169,1.23226,0.008614,0.008614,0.008614
9,11805.5,1.3176,1.73659,1.33392,0.57063,0.42555,0.45267,0.31336,1.19767,1.36503,1.22831,0.008416,0.008416,0.008416
10,13079.1,1.31024,1.7171,1.32867,0.57712,0.42685,0.45514,0.3155,1.19435,1.35942,1.22552,0.008218,0.008218,0.008218
11,14357.1,1.30454,1.70356,1.32383,0.57665,0.42969,0.45841,0.3178,1.19071,1.35242,1.22263,0.00802,0.00802,0.00802
12,15638.2,1.30188,1.69243,1.32046,0.58402,0.42911,0.46096,0.32041,1.18815,1.34451,1.22039,0.007822,0.007822,0.007822
13,16922.1,1.2939,1.67793,1.31553,0.58819,0.43447,0.46502,0.32362,1.1858,1.33583,1.21819,0.007624,0.007624,0.007624
14,18201.1,1.29032,1.66783,1.31326,0.58913,0.43642,0.46754,0.3259,1.18324,1.32709,1.2157,0.007426,0.007426,0.007426
15,19485,1.28835,1.65553,1.3099,0.58922,0.44026,0.47082,0.32823,1.18111,1.31831,1.21348,0.007228,0.007228,0.007228
16,20769.3,1.28361,1.65093,1.30771,0.59224,0.44112,0.47352,0.3303,1.1784,1.30997,1.21093,0.00703,0.00703,0.00703
