epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,914.01,1.19943,1.04162,1.21097,0.65099,0.4866,0.5467,0.34457,1.2166,1.03296,1.19151,0.00333258,0.00333258,0.00333258
2,1824.65,1.31104,1.20882,1.28559,0.66047,0.45047,0.51335,0.31624,1.27197,1.09667,1.24075,0.00633595,0.00633595,0.00633595
3,2712.11,1.40747,1.36609,1.35632,0.60485,0.40605,0.46076,0.27582,1.30242,1.15202,1.2767,0.00900932,0.00900932,0.00900932
4,3630.13,1.41944,1.38304,1.36917,0.67707,0.42803,0.50013,0.31591,1.25219,1.07948,1.24173,0.008515,0.008515,0.008515
5,4496.55,1.3673,1.30277,1.33462,0.66031,0.46836,0.53998,0.33844,1.20947,1.01873,1.20863,0.00802,0.00802,0.00802
6,5331.26,1.32909,1.24582,1.30893,0.68322,0.50236,0.56356,0.36117,1.18187,0.98047,1.18982,0.007525,0.007525,0.007525
7,6176.09,1.30397,1.20841,1.29112,0.67433,0.51527,0.5749,0.36899,1.16456,0.95077,1.17444,0.00703,0.00703,0.00703
8,7017.58,1.2856,1.18161,1.27989,0.70183,0.52319,0.59407,0.38429,1.14418,0.92956,1.16405,0.006535,0.006535,0.006535
9,7864.3,1.26703,1.15517,1.26551,0.69236,0.53945,0.60341,0.39203,1.13411,0.91421,1.15366,0.00604,0.00604,0.00604
10,8737.76,1.24845,1.12874,1.25548,0.73032,0.53712,0.61039,0.40069,1.12965,0.89965,1.14976,0.005545,0.005545,0.005545
11,9565.64,1.24187,1.06528,1.24348,0.72264,0.53921,0.61027,0.40112,1.12491,0.89424,1.1469,0.00505,0.00505,0.00505
12,10349.7,1.2243,1.03856,1.23046,0.73374,0.54117,0.61594,0.40502,1.12177,0.88874,1.14405,0.004555,0.004555,0.004555
13,11130.9,1.20765,1.01559,1.22027,0.72235,0.54819,0.61896,0.40717,1.11729,0.88462,1.14096,0.00406,0.00406,0.00406
14,11913.3,1.19202,0.99441,1.20867,0.72494,0.5479,0.6222,0.41008,1.11362,0.8794,1.13834,0.003565,0.003565,0.003565
15,12705.3,1.17484,0.96962,1.1964,0.7329,0.54569,0.62633,0.41401,1.10968,0.87396,1.1355,0.00307,0.00307,0.00307
16,13515.1,1.15938,0.94851,1.18689,0.73142,0.5499,0.62792,0.41571,1.10725,0.87035,1.13339,0.002575,0.002575,0.002575
17,14309.8,1.14359,0.92668,1.17659,0.73563,0.5478,0.63104,0.41643,1.10532,0.86607,1.13135,0.00208,0.00208,0.00208
18,15100.8,1.12802,0.90479,1.16534,0.75067,0.54275,0.63312,0.41889,1.10326,0.86248,1.12978,0.001585,0.001585,0.001585
19,15894.1,1.11149,0.88265,1.1559,0.74447,0.55201,0.63532,0.42089,1.10067,0.85892,1.12765,0.00109,0.00109,0.00109
20,16696.4,1.09728,0.86353,1.14619,0.74845,0.55169,0.63733,0.4223,1.09854,0.85569,1.12575,0.000595,0.000595,0.000595
